postal_code,main_city
1000,brussel
1020,brussel
1030,schaarbeek
1040,etterbeek
1050,elsene
1060,sint-gillis
1070,anderlecht
1080,sint-jans-molenbeek
1081,koekelberg
1082,sint-agatha-berchem
1083,ganshoren
1090,jette
1120,brussel
1130,brussel
1140,evere
1150,sint-pieters-woluwe
1160,oudergem
1170,watermaal-bosvoorde
1180,ukkel
1190,vorst
1200,sint-lambrechts-woluwe
1210,sint-joost-ten-node
1300,wavre
1301,wavre
1310,la hulpe
1315,incourt
1320,beauvechain
1325,chaumont-gistoux
1330,rixensart
1332,rixensart
1340,ottignies-louvain-la-neuve
1341,ottignies-louvain-la-neuve
1342,ottignies-louvain-la-neuve
1348,ottignies-louvain-la-neuve
1350,orp-jauche
1357,hélécine
1360,perwez
1367,ramillies
1370,jodoigne
1380,lasne
1390,grez-doiceau
1400,nivelles
1401,nivelles
1410,waterloo
1420,braine-l'alleud
1421,braine-l'alleud
1428,braine-l'alleud
1430,rebecq
1435,mont-saint-guibert
1440,braine-le-château
1450,chastre
1457,walhain
1460,ittre
1470,genappe
1471,genappe
1474,genappe
1476,genappe
1480,tubize
1490,court-saint-etienne
1495,villers-la-ville
1500,halle
1501,halle
1502,halle
1540,herne
1541,herne
1547,bever
1560,hoeilaart
1570,galmaarden
1600,sint-pieters-leeuw
1601,sint-pieters-leeuw
1602,sint-pieters-leeuw
1620,drogenbos
1630,linkebeek
1640,sint-genesius-rode
1650,beersel
1651,beersel
1652,beersel
1653,beersel
1654,beersel
1670,pepingen
1671,pepingen
1673,pepingen
1674,pepingen
1700,dilbeek
1701,dilbeek
1702,dilbeek
1703,dilbeek
1730,asse
1731,asse
1740,ternat
1742,ternat
1745,opwijk
1750,lennik
1755,gooik
1760,roosdaal
1770,liedekerke
1780,wemmel
1785,merchtem
1790,affligem
1800,vilvoorde
1820,steenokkerzeel
1830,machelen
1831,machelen
1840,londerzeel
1850,grimbergen
1851,grimbergen
1852,grimbergen
1853,grimbergen
1860,meise
1861,meise
1880,kapelle-op-den-bos
1910,kampenhout
1930,zaventem
1932,zaventem
1933,zaventem
1950,kraainem
1970,wezembeek-oppem
1980,zemst
1981,zemst
1982,zemst
2000,antwerpen
2018,antwerpen
2020,antwerpen
2030,antwerpen
2040,antwerpen
2050,antwerpen
2060,antwerpen
2070,zwijndrecht
2100,antwerpen
2110,wijnegem
2140,antwerpen
2150,borsbeek
2160,wommelgem
2170,antwerpen
2180,antwerpen
2200,herentals
2220,heist-op-den-berg
2221,heist-op-den-berg
2222,heist-op-den-berg
2223,heist-op-den-berg
2230,herselt
2235,hulshout
2240,zandhoven
2242,zandhoven
2243,zandhoven
2250,olen
2260,westerlo
2270,herenthout
2275,lille
2280,grobbendonk
2288,grobbendonk
2290,vorselaar
2300,turnhout
2310,rijkevorsel
2320,hoogstraten
2321,hoogstraten
2328,hoogstraten
2330,merksplas
2340,beerse
2350,vosselaar
2360,oud-turnhout
2370,arendonk
2380,ravels
2381,ravels
2382,ravels
2390,malle
2400,mol
2430,laakdal
2431,laakdal
2440,geel
2450,meerhout
2460,kasterlee
2470,retie
2480,dessel
2490,balen
2491,balen
2500,lier
2520,ranst
2530,boechout
2531,boechout
2540,hove
2547,lint
2550,kontich
2560,nijlen
2570,duffel
2580,putte
2590,berlaar
2600,antwerpen
2610,antwerpen
2620,hemiksem
2627,schelle
2630,aartselaar
2640,mortsel
2650,edegem
2660,antwerpen
2800,mechelen
2801,mechelen
2811,mechelen
2812,mechelen
2820,bonheiden
2830,willebroek
2840,rumst
2845,niel
2850,boom
2860,sint-katelijne-waver
2861,sint-katelijne-waver
2870,puurs-sint-amands
2880,bornem
2890,puurs-sint-amands
2900,schoten
2910,essen
2920,kalmthout
2930,brasschaat
2940,stabroek
2950,kapellen
2960,brecht
2970,schilde
2980,zoersel
2990,wuustwezel
3000,leuven
3001,leuven
3010,leuven
3012,leuven
3018,leuven
3020,herent
3040,huldenberg
3050,oud-heverlee
3051,oud-heverlee
3052,oud-heverlee
3053,oud-heverlee
3060,bertem
3061,bertem
3070,kortenberg
3071,kortenberg
3078,kortenberg
3080,tervuren
3090,overijse
3110,rotselaar
3111,rotselaar
3118,rotselaar
3120,tremelo
3128,tremelo
3130,begijnendijk
3140,keerbergen
3150,haacht
3190,boortmeerbeek
3191,boortmeerbeek
3200,aarschot
3201,aarschot
3202,aarschot
3210,lubbeek
3211,lubbeek
3212,lubbeek
3220,holsbeek
3221,holsbeek
3270,scherpenheuvel-zichem
3271,scherpenheuvel-zichem
3272,scherpenheuvel-zichem
3290,diest
3293,diest
3300,tienen
3320,hoegaarden
3350,linter
3360,bierbeek
3370,boutersem
3380,glabbeek
3384,glabbeek
3390,tielt-winge
3400,landen
3401,landen
3404,landen
3440,zoutleeuw
3450,geetbets
3454,geetbets
3460,bekkevoort
3470,kortenaken
3471,kortenaken
3472,kortenaken
3500,hasselt
3510,hasselt
3511,hasselt
3512,hasselt
3520,zonhoven
3530,houthalen-helchteren
3540,herk-de-stad
3545,halen
3550,heusden-zolder
3560,lummen
3570,alken
3580,beringen
3581,beringen
3582,beringen
3583,beringen
3590,diepenbeek
3600,genk
3620,lanaken
3621,lanaken
3630,maasmechelen
3631,maasmechelen
3640,kinrooi
3650,dilsen-stokkem
3660,oudsbergen
3665,as
3670,oudsbergen
3680,maaseik
3690,zutendaal
3700,tongeren
3720,kortessem
3724,kortessem
3730,hoeselt
3732,hoeselt
3740,bilzen
3770,riemst
3790,voeren
3800,sint-truiden
3803,sint-truiden
3806,sint-truiden
3830,wellen
3832,wellen
3840,borgloon
3850,nieuwerkerken
3870,heers
3890,gingelom
3891,gingelom
3900,pelt
3910,pelt
3920,lommel
3930,hamont-achel
3940,hechtel-eksel
3941,hechtel-eksel
3945,ham
3950,bocholt
3960,bree
3970,leopoldsburg
3971,leopoldsburg
3980,tessenderlo
3990,peer
4000,liège
4020,liège
4030,liège
4031,liège
4032,liège
4040,herstal
4041,herstal
4050,chaudfontaine
4051,chaudfontaine
4052,chaudfontaine
4053,chaudfontaine
4100,seraing
4101,seraing
4102,seraing
4120,neupré
4121,neupré
4122,neupré
4130,esneux
4140,sprimont
4141,sprimont
4160,anthisnes
4170,comblain-au-pont
4171,comblain-au-pont
4180,hamoir
4190,ferrières
4210,burdinne
4217,héron
4218,héron
4219,wasseiges
4250,geer
4257,berloz
4260,braives
4280,hannut
4287,lincent
4300,waremme
4317,faimes
4340,awans
4347,fexhe-le-haut-clocher
4350,remicourt
4351,remicourt
4357,donceel
4360,oreye
4367,crisnée
4400,flémalle
4420,saint-nicolas
4430,ans
4431,ans
4432,ans
4450,juprelle
4458,juprelle
4460,grâce-hollogne
4470,saint-georges-sur-meuse
4480,engis
4500,huy
4520,wanze
4530,villers-le-bouillet
4537,verlaine
4540,amay
4550,nandrin
4557,tinlot
4560,clavier
4570,marchin
4577,modave
4590,ouffet
4600,visé
4601,visé
4602,visé
4607,dalhem
4610,beyne-heusay
4620,fléron
4621,fléron
4630,soumagne
4650,herve
4652,herve
4670,blégny
4671,blégny
4672,blégny
4680,oupeye
4681,oupeye
4682,oupeye
4683,oupeye
4684,oupeye
4690,bassenge
4700,eupen
4710,lontzen
4731,raeren
4770,amel
4780,sankt-vith
4800,verviers
4801,verviers
4802,verviers
4820,dison
4821,dison
4830,limbourg
4831,limbourg
4841,welkenraedt
4845,jalhay
4850,plombières
4851,plombières
4860,pepinster
4870,trooz
4877,olne
4880,aubel
4890,thimister-clermont
4900,spa
4910,theux
4920,aywaille
4950,weismes
4960,malmedy
4970,stavelot
4980,trois-ponts
4987,stoumont
4990,lierneux
5000,namur
5002,namur
5004,namur
5020,namur
5022,namur
5030,gembloux
5031,gembloux
5060,sambreville
5070,fosses-la-ville
5080,la bruyère
5100,namur
5101,namur
5140,sombreffe
5150,floreffe
5170,profondeville
5190,jemeppe-sur-sambre
5300,andenne
5310,eghezée
5330,assesse
5333,assesse
5336,assesse
5340,gesves
5350,ohey
5351,ohey
5353,ohey
5354,ohey
5360,hamois
5364,hamois
5370,havelange
5376,havelange
5377,somme-leuze
5500,dinant
5501,dinant
5520,onhaye
5522,onhaye
5530,yvoir
5537,anhée
5540,hastière
5541,hastière
5542,hastière
5543,hastière
5544,hastière
5550,vresse-sur-semois
5555,bièvre
5560,houyet
5570,beauraing
5572,beauraing
5574,beauraing
5575,gedinne
5580,rochefort
5590,ciney
5600,philippeville
5620,florennes
5621,florennes
5630,cerfontaine
5640,mettet
5644,mettet
5650,walcourt
5651,walcourt
5660,couvin
5670,viroinval
5680,doische
6000,charleroi
6001,charleroi
6010,charleroi
6020,charleroi
6030,charleroi
6031,charleroi
6032,charleroi
6040,charleroi
6041,charleroi
6042,charleroi
6043,charleroi
6044,charleroi
6060,charleroi
6061,charleroi
6110,montigny-le-tilleul
6120,ham-sur-heure
6140,fontaine-l'evêque
6141,fontaine-l'evêque
6150,anderlues
6180,courcelles
6181,courcelles
6182,courcelles
6183,courcelles
6200,châtelet
6210,les bons villers
6211,les bons villers
6220,fleurus
6221,fleurus
6222,fleurus
6223,fleurus
6224,fleurus
6230,pont-à-celles
6238,pont-à-celles
6240,farciennes
6250,aiseau-presles
6280,gerpinnes
6440,froidchapelle
6460,chimay
6464,chimay
6470,sivry-rance
6500,beaumont
6530,thuin
6532,thuin
6534,thuin
6540,lobbes
6542,lobbes
6560,erquelinnes
6567,merbes-le-château
6590,momignies
6600,bastogne
6630,martelange
6637,fauvillers
6640,vaux-sur-sûre
6660,houffalize
6662,houffalize
6666,houffalize
6670,gouvy
6671,gouvy
6672,gouvy
6686,bertogne
6687,bertogne
6690,vielsalm
6692,vielsalm
6700,arlon
6706,arlon
6717,attert
6720,habay
6724,habay
6730,tintigny
6740,etalle
6741,etalle
6747,saint-léger
6750,musson
6760,virton
6761,virton
6762,virton
6767,rouvroy
6769,meix-devant-virton
6780,messancy
6781,messancy
6782,messancy
6790,aubange
6791,aubange
6792,aubange
6800,libramont-chevigny
6810,chiny
6812,chiny
6820,florenville
6821,florenville
6823,florenville
6830,bouillon
6831,bouillon
6832,bouillon
6833,bouillon
6836,bouillon
6838,bouillon
6840,neufchâteau
6850,paliseul
6852,paliseul
6856,paliseul
6860,léglise
6870,saint-hubert
6880,bertrix
6887,herbeumont
6890,libin
6900,marche-en-famenne
6920,wellin
6921,wellin
6924,wellin
6927,tellin
6929,daverdisse
6940,durbuy
6941,durbuy
6950,nassogne
6953,nassogne
6960,manhay
6970,tenneville
6980,la roche-en-ardenne
6982,la roche-en-ardenne
6983,la roche-en-ardenne
6984,la roche-en-ardenne
6987,rendeux
6990,hotton
6997,erezée
7000,mons
7011,mons
7012,mons
7020,mons
7021,mons
7030,mons
7031,mons
7032,mons
7033,mons
7034,mons
7040,quévy
7041,quévy
7050,jurbise
7060,soignies
7061,soignies
7062,soignies
7063,soignies
7070,le roeulx
7080,frameries
7090,braine-le-comte
7100,la louvière
7110,la louvière
7120,estinnes
7130,binche
7131,binche
7133,binche
7134,binche
7140,morlanwelz
7141,morlanwelz
7160,chapelle-lez-herlaimont
7170,manage
7180,seneffe
7181,seneffe
7190,ecaussinnes
7191,ecaussinnes
7300,boussu
7301,boussu
7320,bernissart
7321,bernissart
7322,bernissart
7330,saint-ghislain
7331,saint-ghislain
7332,saint-ghislain
7333,saint-ghislain
7340,colfontaine
7350,hensies
7370,dour
7380,quiévrain
7387,honnelles
7390,quaregnon
7500,tournai
7501,tournai
7502,tournai
7503,tournai
7504,tournai
7506,tournai
7520,tournai
7521,tournai
7522,tournai
7540,tournai
7600,péruwelz
7603,péruwelz
7608,péruwelz
7610,rumes
7618,rumes
7620,brunehaut
7622,brunehaut
7623,brunehaut
7640,antoing
7642,antoing
7700,moeskroen
7711,moeskroen
7712,moeskroen
7730,estaimpuis
7743,pecq
7750,mont-de-l'enclus
7760,celles
7780,komen-waasten
7782,komen-waasten
7784,komen-waasten
7800,ath
7802,ath
7803,ath
7804,ath
7812,ath
7822,ath
7830,silly
7850,edingen
7860,lessines
7861,lessines
7863,lessines
7864,lessines
7866,lessines
7870,lens
7880,vloesberg
7890,ellezelles
7900,leuze-en-hainaut
7901,leuze-en-hainaut
7903,leuze-en-hainaut
7910,frasnes-lez-anvaing
7911,frasnes-lez-anvaing
7912,frasnes-lez-anvaing
7941,brugelette
7950,chièvres
7970,beloeil
7971,beloeil
7972,beloeil
7973,beloeil
8000,brugge
8020,oostkamp
8200,brugge
8210,zedelgem
8211,zedelgem
8300,knokke-heist
8301,knokke-heist
8310,brugge
8340,damme
8370,blankenberge
8377,zuienkerke
8380,brugge
8400,oostende
8420,de haan
8430,middelkerke
8432,middelkerke
8433,middelkerke
8434,middelkerke
8450,bredene
8460,oudenburg
8470,gistel
8480,ichtegem
8490,jabbeke
8500,kortrijk
8501,kortrijk
8510,kortrijk
8511,kortrijk
8520,kuurne
8530,harelbeke
8531,harelbeke
8540,deerlijk
8550,zwevegem
8551,zwevegem
8552,zwevegem
8553,zwevegem
8554,zwevegem
8560,wevelgem
8570,anzegem
8572,anzegem
8573,anzegem
8580,avelgem
8581,avelgem
8582,avelgem
8587,spiere-helkijn
8600,diksmuide
8610,kortemark
8620,nieuwpoort
8630,veurne
8640,vleteren
8647,lo-reninge
8650,houthulst
8660,de panne
8670,koksijde
8680,koekelare
8690,alveringem
8691,alveringem
8700,tielt
8710,wielsbeke
8720,dentergem
8730,beernem
8740,pittem
8750,wingene
8755,ruiselede
8760,meulebeke
8770,ingelmunster
8780,oostrozebeke
8790,waregem
8791,waregem
8792,waregem
8800,roeselare
8810,lichtervelde
8820,torhout
8830,hooglede
8840,staden
8850,ardooie
8851,ardooie
8860,lendelede
8870,izegem
8880,ledegem
8890,moorslede
8900,ieper
8902,ieper
8904,ieper
8906,ieper
8908,ieper
8920,langemark-poelkapelle
8930,menen
8940,wervik
8956,heuvelland
8957,mesen
8970,poperinge
8972,poperinge
8978,poperinge
8980,zonnebeke
9000,gent
9030,gent
9031,gent
9032,gent
9040,gent
9041,gent
9042,gent
9050,gent
9051,gent
9052,gent
9060,zelzate
9070,destelbergen
9080,lochristi
9090,melle
9100,sint-niklaas
9111,sint-niklaas
9112,sint-niklaas
9120,beveren-waas
9130,beveren-waas
9140,temse
9150,kruibeke
9160,lokeren
9170,sint-gillis-waas
9180,moerbeke-waas
9185,wachtebeke
9190,stekene
9200,dendermonde
9220,hamme
9230,wetteren
9240,zele
9250,waasmunster
9255,buggenhout
9260,wichelen
9270,laarne
9280,lebbeke
9290,berlare
9300,aalst
9308,aalst
9310,aalst
9320,aalst
9340,lede
9400,ninove
9401,ninove
9402,ninove
9403,ninove
9404,ninove
9406,ninove
9420,erpe-mere
9450,haaltert
9470,denderleeuw
9473,denderleeuw
9500,geraardsbergen
9506,geraardsbergen
9520,sint-lievens-houtem
9521,sint-lievens-houtem
9550,herzele
9552,herzele
9570,lierde
9600,ronse
9620,zottegem
9630,zwalm
9660,brakel
9661,brakel
9667,horebeke
9680,maarkedal
9681,maarkedal
9690,kluisbergen
9700,oudenaarde
9750,kruisem
9770,kruisem
9771,kruisem
9790,wortegem-petegem
9800,deinze
9810,nazareth
9820,merelbeke
9830,sint-martens-latem
9831,sint-martens-latem
9840,de pinte
9850,deinze
9860,oosterzele
9870,zulte
9880,aalter
9881,aalter
9890,gavere
9900,eeklo
9910,aalter
9920,lievegem
9930,lievegem
9932,lievegem
9940,evergem
9950,lievegem
9960,assenede
9961,assenede
9968,assenede
9970,kaprijke
9971,kaprijke
9980,sint-laureins
9982,sint-laureins
9988,sint-laureins
9990,maldegem
9991,maldegem